name,2016-11-21 00時,2016-11-21 01時,2016-11-21 02時,2016-11-21 03時,2016-11-21 04時,2016-11-21 05時,2016-11-21 06時,2016-11-21 07時,2016-11-21 08時,2016-11-21 09時,2016-11-21 10時,2016-11-21 11時,2016-11-21 12時,2016-11-21 13時,2016-11-21 14時,2016-11-21 15時,2016-11-21 16時,2016-11-21 17時,2016-11-21 18時,2016-11-21 19時,2016-11-21 20時,2016-11-21 21時,2016-11-21 22時,2016-11-21 23時
"TaskPit",0,0,0,0,0,0,0,0,0,0,0,0,0,5,769,0,0,0,0,0,0,0,0,0
"テキスト閲覧・編集",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0
"デスクトップ",0,0,0,0,0,0,0,0,0,0,0,0,0,46,11,1,26,0,8,0,0,0,0,0
"デバッグ(.NET)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"データ分析",0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,10,0,0,0,0,0,0,0
"ファイル操作",0,0,0,0,0,0,0,0,0,0,0,0,0,237,97,28,121,25,22,0,0,0,0,0
"ブラウザ",0,0,0,0,0,0,0,0,0,0,0,0,0,139,1358,755,1000,517,1,0,0,0,0,0
"プレゼン編集",0,0,0,0,0,0,0,0,0,0,0,0,0,1344,567,2143,1332,1183,0,0,0,0,0,0
"プログラミング",0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,69,145,729,608,0,0,0,0,0
"メール",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"登録外",0,0,0,0,0,0,0,0,0,0,0,0,0,1136,339,169,640,807,514,0,0,0,0,0
